sample,fastq_1,fastq_2,vector
ng.1939_d10353,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10353_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10353_2_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/genome/Pvec_r5_v2.fa
ng.1941_d10354,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10354_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10354_2_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/genome/Pvec_r5_v2.fa
ng.1944_d10355,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10355_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10355_2_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/genome/Pvec_r5_v2.fa
ng.1945_d10356,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10356_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10356_2_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/genome/Pvec_r5_v2.fa
hd.PP1_d10357,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10357_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10357_2_sequence.fastq.gz,
hd.PP2_d10358,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10358_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10358_2_sequence.fastq.gz,
hd.PP3_d10359,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10359_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10359_2_sequence.fastq.gz,
hd.PP4_d10360,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10360_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10360_2_sequence.fastq.gz,
hd.UL_d10361,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10361_1_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/data/250730Lov_D25-10361_2_sequence.fastq.gz,/net/bmc-lab3/data/bcc/projects/hannah07-Love/250730Lov-WGS/genome/VP1_VP0.fa

